
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        140 K
Registry                       112 Services                   0     24,684 K
smss.exe                       460 Services                   0        960 K
csrss.exe                      792 Services                   0      5,660 K
wininit.exe                    900 Services                   0      7,020 K
csrss.exe                      924 Console                    1      6,516 K
winlogon.exe                  1012 Console                    1     10,164 K
services.exe                   536 Services                   0      9,728 K
lsass.exe                      820 Services                   0     22,192 K
svchost.exe                   1116 Services                   0     31,528 K
fontdrvhost.exe               1144 Services                   0      2,884 K
fontdrvhost.exe               1152 Console                    1      6,652 K
WUDFHost.exe                  1220 Services                   0     13,936 K
svchost.exe                   1292 Services                   0     17,256 K
svchost.exe                   1336 Services                   0      9,648 K
svchost.exe                   1428 Services                   0      8,648 K
svchost.exe                   1436 Services                   0     13,148 K
svchost.exe                   1444 Services                   0     11,268 K
svchost.exe                   1504 Services                   0     10,064 K
svchost.exe                   1516 Services                   0      9,636 K
IntelCpHDCPSvc.exe            1616 Services                   0      7,664 K
svchost.exe                   1628 Services                   0      9,840 K
dwm.exe                       1692 Console                    1     85,052 K
svchost.exe                   1732 Services                   0      8,764 K
svchost.exe                   1836 Services                   0      5,800 K
svchost.exe                   1868 Services                   0      9,148 K
svchost.exe                   1904 Services                   0      8,012 K
svchost.exe                   1932 Services                   0     11,748 K
IntelCpHeciSvc.exe             548 Services                   0      7,116 K
svchost.exe                    976 Services                   0      6,256 K
svchost.exe                   1856 Services                   0     16,332 K
svchost.exe                   1048 Services                   0     15,636 K
svchost.exe                   2072 Services                   0      7,916 K
svchost.exe                   2184 Services                   0      9,928 K
svchost.exe                   2236 Services                   0     15,008 K
svchost.exe                   2304 Services                   0      7,076 K
igfxCUIService.exe            2392 Services                   0      9,220 K
svchost.exe                   2404 Services                   0      7,684 K
WUDFHost.exe                  2412 Services                   0      7,576 K
svchost.exe                   2588 Services                   0      6,452 K
svchost.exe                   2620 Services                   0      8,992 K
svchost.exe                   2764 Services                   0      9,372 K
svchost.exe                   2828 Services                   0     16,624 K
wsc_proxy.exe                 2928 Services                   0      7,840 K
svchost.exe                   2944 Services                   0      6,928 K
svchost.exe                   2964 Services                   0      5,968 K
Memory Compression            2172 Services                   0     73,408 K
svchost.exe                   2724 Services                   0      7,908 K
svchost.exe                   3096 Services                   0      9,508 K
svchost.exe                   3204 Services                   0     17,840 K
svchost.exe                   3268 Services                   0      8,168 K
svchost.exe                   3488 Services                   0     15,012 K
svchost.exe                   3648 Services                   0     15,432 K
svchost.exe                   3696 Services                   0     10,060 K
svchost.exe                   3704 Services                   0      8,216 K
svchost.exe                   3720 Services                   0     10,068 K
svchost.exe                   3888 Services                   0      7,504 K
svchost.exe                   3968 Services                   0     18,940 K
svchost.exe                   4008 Services                   0     14,812 K
svchost.exe                   4076 Services                   0     10,384 K
AvastSvc.exe                  3924 Services                   0     88,728 K
wlanext.exe                   4400 Services                   0      5,404 K
conhost.exe                   4412 Services                   0      5,876 K
aswToolsSvc.exe               4520 Services                   0     33,616 K
spoolsv.exe                   4660 Services                   0     12,548 K
svchost.exe                   4688 Services                   0     15,584 K
svchost.exe                   4740 Services                   0      8,232 K
svchost.exe                   5048 Services                   0      6,076 K
svchost.exe                   5072 Services                   0      8,412 K
svchost.exe                   5080 Services                   0      7,728 K
svchost.exe                   5088 Services                   0     44,308 K
AdobeUpdateService.exe        5100 Services                   0      9,484 K
svchost.exe                   4176 Services                   0     36,512 K
esif_uf.exe                   4248 Services                   0      6,412 K
ControlServer.exe             4212 Services                   0      8,616 K
OneApp.IGCC.WinService.ex     3996 Services                   0     12,100 K
svchost.exe                   2936 Services                   0     11,160 K
svchost.exe                   5124 Services                   0      9,300 K
LMS.exe                       5140 Services                   0      9,288 K
WsNativePushService.exe       5176 Services                   0      4,716 K
rsClientSvc.exe               5264 Services                   0     13,660 K
PsiService_2.exe              5284 Services                   0      6,352 K
rsEDRSvc.exe                  5292 Services                   0     11,724 K
rsSyncSvc.exe                 5320 Services                   0     15,020 K
rsWSC.exe                     5348 Services                   0      8,116 K
